,community_area_number,Area,<19y,20-34y,35-59y,50-64y,65-74y,75-84y,85y<,Median Age,WHITE,HISP,BLACK,ASIAN,OTHER,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,median_income
0,1.0,Rogers Park,12092,16967,12526,9130,2718,1268,799,33.8,23604,12383,14455,3205,1853,32270,29377,2860,13994,5708,7175,6986,1825,9693,6627,8558,6268,4048,2167,1944,1273,37549
1,2.0,West Ridge,19951,16264,14581,13704,5138,2765,1320,35.6,31806,13366,8936,16641,2974,37221,33803,3418,19708,8301,11028,7567,2830,12247,7161,6180,6501,3965,2652,3302,2182,48701
2,3.0,Uptown,7030,18725,13253,10706,3333,1977,1272,37.5,30456,7468,10970,5773,1629,35626,32640,2971,14565,4800,7414,6254,2329,15315,9176,9629,5794,4321,3120,3293,3079,45644
3,4.0,Lincoln Square,7306,13696,10180,6588,2228,976,509,34.7,26554,7284,1394,4608,1643,26812,25161,1651,8348,2819,3687,4524,1527,11589,7831,3263,3987,3043,2512,2745,2882,66393
4,5.0,North Center,8266,10302,9454,4024,1602,808,486,33.8,26996,4378,713,1563,1292,21888,20953,922,5427,1548,2478,2807,925,10509,7017,1416,1870,2185,1986,2677,4415,97703
5,6.0,Lake View,11520,50442,19260,10933,4298,2459,964,30.9,78859,8099,3320,6735,2863,74417,71976,2399,15009,1542,4554,7238,2471,35819,24403,7383,8067,8896,6724,9746,11778,82254
6,7.0,Lincoln Park,11996,29962,11482,8001,3584,1700,535,30.1,53151,4675,3134,4243,2057,45639,44037,1602,12702,1205,2571,3321,1000,22458,16427,4914,3786,4631,3518,5727,9832,95416
7,8.0,Near North Side,7512,35736,15539,14245,8244,3812,1255,34.9,62243,4627,7376,9906,2191,59521,56550,2971,20764,1757,3854,7536,2222,29795,27283,9621,5836,8272,6537,8760,15571,88651
8,9.0,Edison Park,2399,2211,2487,2141,803,691,275,41.6,9760,749,148,236,114,6366,6105,261,2588,349,1695,1678,598,2369,1481,412,810,562,739,669,1273,90173
9,10.0,Norwood Park,7522,5654,8106,7812,3174,2279,1618,44.3,29774,4225,169,1178,818,19128,18007,1121,10480,2104,6987,5967,2220,6256,3477,2632,2452,2518,1993,2730,2193,71405
10,11.0,Jefferson Park,5724,5405,5792,5734,2246,1317,537,39.9,17155,6125,274,2597,604,15077,13958,1119,6892,2476,5109,3779,1511,4432,2278,1991,1954,1738,1404,1897,1282,66013
11,12.0,Forest Glen,5085,2678,4039,3831,1438,1071,509,41.3,13669,2440,169,1976,397,9763,9265,498,4421,615,1876,1991,559,4461,3293,701,856,753,755,1482,2131,108146
12,13.0,North Park,4661,3937,3714,2810,1850,1171,600,38.2,9642,3092,448,5121,440,9192,8408,784,5894,1443,2642,2312,697,3889,1965,1677,1317,870,849,826,836,54388
13,14.0,Albany Park,13354,13738,11975,8232,2329,1343,604,33.6,14932,24892,2337,7883,1531,29653,27243,2339,11394,7378,8192,5068,2047,7339,4041,3627,3835,2967,2091,2259,1632,55561
14,15.0,Portage Park,15160,14457,14215,13346,4123,2223,995,37.8,31774,27575,862,2946,1360,37243,34296,2939,15104,7462,12802,8808,3622,8117,4022,4609,5177,4382,3051,3103,2392,58295
15,16.0,Irving Park,12837,14896,13205,9387,2990,1592,510,34.9,22975,24733,1543,4579,1587,31521,29592,1905,13082,6439,8484,6888,2446,9833,4713,3592,5476,3732,2619,2689,2320,55953
16,17.0,Dunning,10152,8785,8509,9174,3866,1938,1020,40.3,27862,12559,895,1755,373,23573,22193,1311,11663,4142,10060,6819,2617,5117,2365,2915,3612,2633,2463,2654,1259,61590
17,19.0,Belmont Cragin,24443,17805,17084,12405,4072,1615,682,32.5,10859,62945,2194,1333,775,40700,36277,4406,17725,17258,14394,7502,2566,4385,1819,5462,6412,4662,2118,2490,796,44796
18,20.0,Hermosa,7207,6019,4912,4045,1322,686,259,32.3,1900,21321,502,384,343,12812,11721,1091,5776,6185,3712,2520,809,1222,613,2046,2161,1033,836,625,281,39289
19,21.0,Avondale,9226,12162,7750,5307,2173,1063,510,32.4,11898,23368,800,1340,785,21034,19633,1401,9678,6969,6215,3791,1225,4779,2881,3221,3890,2537,1428,1391,1051,47714
20,22.0,Logan Square,16169,27247,16959,8527,2903,1500,452,31.7,32717,33784,3542,2143,1571,45324,43008,2302,14959,6607,10194,6897,2631,16396,9241,5890,5845,4920,3541,4479,4282,63597
21,24.0,West Town,14797,36427,20110,8722,3175,1478,598,32.1,50366,22561,6565,3464,2351,59090,55982,3109,13526,6703,7162,7563,2196,26155,15100,6299,5789,5645,4815,6335,8854,80896
22,25.0,Austin,27986,20929,18001,18709,7336,3498,1152,34.8,4407,12270,79668,475,791,41617,34244,7364,33790,13410,22597,13151,4490,5481,2746,13062,8848,4561,2583,2362,963,31920
23,26.0,West Garfield Park,6290,3642,3117,2622,924,698,205,28.8,277,363,16713,33,113,5770,4687,1083,6621,2761,3652,2228,563,387,123,2861,1094,772,375,142,69,22698
24,27.0,East Garfield Park,6430,5031,3571,3298,1071,601,224,30.4,1079,711,18147,80,208,7488,6119,1369,7425,2544,4005,2733,785,1205,591,3551,1466,703,618,388,199,24000
25,28.0,Near West Side,11969,26823,12502,6978,2744,1255,289,30.7,26071,6105,18559,10267,1558,38477,34925,3512,15795,3511,4597,4659,1482,14689,13236,7331,2893,3739,3092,4542,6511,75736
26,29.0,North Lawndale,11606,8491,5864,5906,1951,1055,550,29.6,796,2897,31112,83,535,13015,10193,2822,12852,5471,6533,5239,1123,1484,647,5775,2558,1472,727,470,152,24003
27,30.0,South Lawndale,24104,19794,15470,9753,2906,1434,522,29.1,2545,62126,8831,201,280,28415,25683,2732,26549,21173,11936,4873,1692,2190,785,7069,5870,2755,980,1037,209,31766
28,31.0,Lower West Side,8694,10454,6653,4323,1811,772,291,31.0,4955,25699,1258,718,368,17799,16138,1661,8017,7056,4673,2958,1041,3881,1883,3784,3425,2179,1146,849,453,39020
29,33.0,Near South Side,3581,7927,6127,3536,1305,571,143,35.2,10433,1243,5488,5375,651,16397,15787,599,3469,612,1110,2516,654,6142,7367,2230,1693,1954,1319,2600,3310,87813
30,34.0,Armour Square,2997,2824,2539,2541,1371,1043,385,42.0,1599,423,1248,10299,130,6688,5879,809,4848,3342,3010,920,505,1313,884,2483,1136,648,324,425,149,26543
31,35.0,Douglas,4152,6316,3743,3413,1476,949,510,34.2,2356,649,14460,2639,455,9861,8281,1580,8025,1748,2635,2976,823,2879,2634,4438,1895,1478,770,495,414,29398
32,36.0,Oakland,2192,1217,1396,967,509,157,36,33.1,125,240,5949,124,36,3197,2518,679,1603,578,856,1124,294,468,442,1293,755,338,203,163,108,28231
33,37.0,Fuller Park,502,446,364,538,391,153,64,47.1,123,141,2175,16,2,968,697,271,1045,472,648,318,143,122,77,603,281,86,52,61,6,22456
34,38.0,Grand Boulevard,6025,4319,4948,3559,1863,974,368,36.9,570,373,20503,89,521,10296,8252,2044,6842,2177,3232,4050,1001,2028,1917,4525,1890,1343,796,754,535,29687
35,39.0,Kenwood,3219,4818,3085,3132,1481,963,376,37.1,2925,503,11690,1440,516,9125,7945,1180,5302,992,1491,2199,838,2942,3893,3218,1867,1135,838,1070,989,41414
36,40.0,Washington Park,4604,2783,2001,1686,409,228,157,27.8,48,216,11199,14,391,4921,3607,1314,3124,1152,1786,1840,418,841,426,2256,954,656,212,204,69,23742
37,41.0,Hyde Park,5514,9378,4159,4004,2031,1072,415,31.3,12539,2101,7621,3249,1063,14079,13134,939,9450,583,1209,2036,523,4563,8097,3756,2358,2312,1161,1283,1659,51483
38,42.0,Woodlawn,7814,5480,4127,3748,1693,696,250,30.7,1921,696,20029,663,499,9204,7492,1712,8915,2030,3099,3954,1182,1779,1608,4610,1972,936,701,582,323,24603
39,43.0,South Shore,13610,10453,10059,9875,3650,2304,817,36.9,1467,924,47326,258,793,23117,18373,4744,16930,3926,7955,10283,2847,4841,3322,11323,5134,2769,1744,1192,599,25260
40,44.0,Chatham,7677,5925,5494,7135,2159,1733,867,39.5,459,311,29836,93,291,15032,12161,2871,9547,2596,5925,6111,1701,2805,2013,5551,3558,1993,1183,933,316,32348
41,45.0,Avalon Park,2150,1676,1668,2329,1045,651,277,44.7,37,68,9573,19,99,4294,3255,1039,3923,852,1689,2443,492,1066,533,1387,986,478,488,343,191,37671
42,46.0,South Chicago,8299,5179,4987,5125,2091,1600,320,36.0,672,5810,20826,16,277,12597,9818,2779,8482,3450,5356,4446,1262,1763,871,4584,2728,1485,707,526,195,28824
43,47.0,Burnside,687,463,315,447,313,155,62,38.6,11,0,2419,0,12,1029,840,189,932,285,434,454,139,98,113,473,226,49,95,63,20,24462
44,48.0,Calumet Heights,2509,1883,2803,2875,1661,1072,503,47.0,161,465,12566,12,102,6306,5395,911,5095,1138,2628,2713,968,1545,1079,1476,1276,904,758,695,189,48161
45,49.0,Roseland,11388,7752,7207,8499,4097,2586,798,39.5,417,396,40798,169,547,18605,13757,4821,15215,4252,6942,8695,2531,3448,2098,5332,3703,2234,1399,1363,461,37067
46,50.0,Pullman,1568,1288,1378,1301,672,329,84,40.7,633,335,5474,43,135,3435,2739,696,1909,597,1195,1401,324,799,354,1086,912,370,301,245,53,37165
47,51.0,South Deering,4549,2697,2351,2644,1479,692,223,35.6,781,4139,9575,1,139,6322,4717,1605,4727,1906,3222,2555,591,613,458,2005,1364,928,393,250,72,34078
48,52.0,East Side,7426,4751,4503,3979,1183,748,392,32.6,3929,18387,562,66,38,11240,9170,2050,6139,4174,4731,2508,621,1240,487,1786,2030,1148,947,669,249,42918
49,53.0,West Pullman,7743,5668,4806,5160,2552,1322,329,36.2,281,1488,25530,70,213,12774,9530,3244,8697,2888,5438,5260,1139,1779,942,3585,2244,1452,860,731,315,35410
50,54.0,Riverdale,3494,1731,1073,733,223,69,59,21.3,135,265,6926,26,30,2575,1624,951,1980,778,854,1146,279,106,55,1638,548,114,61,40,8,14287
51,55.0,Hegewisch,2027,1791,1547,2499,600,563,155,42.4,4114,4604,447,0,17,4568,4277,291,2990,1004,2394,1673,473,750,422,930,661,563,558,539,331,58333
52,56.0,Garfield Ridge,9143,6423,7688,6896,2891,1632,797,38.9,16196,17229,1431,305,309,18017,16204,1813,10104,4634,7342,5065,2009,3501,1745,2075,2699,2277,1408,2183,1366,63129
53,57.0,Archer Heights,4016,2933,2879,1897,907,369,231,33.0,2477,10178,79,439,60,6700,6038,662,3312,2599,2881,1535,278,663,195,946,1149,787,384,493,148,44949
54,58.0,Brighton Park,14750,10005,10001,6233,1898,915,429,31.2,2798,37468,453,3253,259,20782,18383,2397,11882,11325,7928,3322,1132,1693,581,3455,4329,2134,1062,819,386,38673
55,59.0,McKinley Park,4424,4031,3312,2673,1084,407,133,33.4,2660,10095,145,2918,246,8088,7079,1009,4223,3070,2934,1701,662,1398,637,1384,1616,980,452,475,251,43496
56,60.0,Bridgeport,6667,8973,6270,7157,2211,1040,470,36.7,10955,8160,863,12193,618,18073,16279,1794,9319,5144,6899,3647,1516,4099,2211,3609,3458,2099,1274,1218,882,42630
57,61.0,New City,13725,9613,7856,6351,2197,1065,290,30.2,4970,25261,9490,977,400,18715,14798,3917,11494,7476,10661,3235,768,1167,484,4799,3730,1772,884,568,200,30623
58,62.0,West Elsdon,6579,4681,4097,2634,1279,470,219,30.7,2845,16585,213,310,5,9647,8446,1201,5224,3421,4193,2031,734,864,332,987,1538,1112,605,768,115,50793
59,63.0,Gage Park,14756,10039,8526,4966,1800,600,239,28.2,1432,37904,1352,191,47,19487,16456,3031,9397,9616,8262,2586,1082,945,378,2698,3451,1836,983,606,146,40195
60,64.0,Clearing,6556,5422,5525,4469,1837,859,532,36.8,11672,12527,340,361,300,13478,12123,1355,6280,2591,6755,3556,1300,2094,845,1598,1790,1887,1415,1417,547,62908
61,65.0,West Lawn,11317,7883,7120,4544,1597,764,370,31.1,5008,27169,1154,193,71,16702,14472,2230,8004,6374,6934,3369,1154,1783,473,1595,2786,1851,1261,1130,311,50973
62,66.0,Chicago Lawn,17878,12399,10881,8698,2865,1099,445,31.1,1973,26109,25023,304,856,25890,20233,5657,14279,9412,11457,6620,1786,1845,706,6195,4867,2299,1362,852,340,33616
63,67.0,West Englewood,8793,6447,5714,5110,2779,1476,479,35.4,244,1890,28249,6,409,12858,8532,4326,10957,4483,8295,4507,993,1085,412,4559,2634,1367,613,330,152,27223
64,68.0,Englewood,8303,6249,3883,4497,1734,962,392,31.1,204,756,24690,62,308,10149,6564,3585,9137,3835,5624,3867,1125,873,283,5360,2258,775,418,304,76,20112
65,69.0,Greater Grand Crossing,8759,7099,5931,6334,2221,1325,792,36.0,431,387,31301,5,337,14357,10929,3428,11144,3208,6402,6363,1750,2221,1011,5606,3030,1758,966,525,254,27723
66,70.0,Ashburn,12983,8368,8998,8477,2855,977,625,35.5,5044,16374,20721,314,830,22477,19608,2869,10608,4417,8141,6584,2239,3595,1906,2021,2673,2653,2166,2215,1105,65499
67,71.0,Auburn Gresham,11432,9224,7941,9587,4041,2700,845,39.6,257,614,44267,153,479,20671,15788,4876,16316,5356,10100,8973,2113,2771,1805,7497,4448,2661,1297,1054,322,29821
68,72.0,Beverly,5367,2802,4448,5214,1918,818,269,42.9,12043,1200,7047,89,457,10866,10152,714,5586,457,2043,2853,1048,3955,4091,744,1180,1105,1212,1337,2032,91007
69,74.0,Mount Greenwood,5407,3566,4108,3864,1103,650,331,37.0,15730,2090,589,368,252,9784,9333,433,5015,514,3082,3350,968,2896,1518,633,869,1034,1141,1826,1070,91444
70,75.0,Morgan Park,6041,3628,3954,5247,1988,1290,888,42.6,6325,807,15253,45,604,10554,9382,1173,7830,1427,3384,3851,1611,2634,2645,1885,1597,1241,1052,1361,943,59522
71,76.0,O'Hare,2507,3332,3192,2101,1180,579,238,37.2,9664,1147,233,1423,662,7285,6681,604,3633,1130,2354,2066,930,2351,1375,1726,1427,1329,945,493,311,49209
72,77.0,Edgewater,8155,16364,12013,11269,4434,2049,1146,38.4,30615,9081,7592,6430,1712,34046,31680,2366,15746,4102,6425,6974,2278,13743,10055,8023,6735,5020,3033,3117,2739,47636
